RUN	myfirstpackage.SetUpUserLoadOpenSystem	setupuserloadopensystem	1549514469142	 	3.0.2
USER	SE1	210	START	1549514541658	1549514541658
USER	SE1	211	START	1549514542162	1549514542162
USER	SE2	212	START	1549514542162	1549514542162
USER	SE1	213	START	1549514542662	1549514542662
USER	SE1	214	START	1549514543163	1549514543163
USER	SE2	215	START	1549514543163	1549514543163
USER	SE1	216	START	1549514543658	1549514543658
USER	SE1	217	START	1549514544162	1549514544162
USER	SE2	218	START	1549514544162	1549514544162
REQUEST	144		Homepage	1549514519663	1549514544560	OK	 
USER	SE1	219	START	1549514544661	1549514544661
USER	SE2	221	START	1549514545161	1549514545161
USER	SE1	220	START	1549514545161	1549514545161
USER	SE1	222	START	1549514545659	1549514545659
USER	SE2	224	START	1549514546163	1549514546163
USER	SE1	223	START	1549514546163	1549514546163
USER	SE1	225	START	1549514546663	1549514546663
USER	SE2	227	START	1549514547158	1549514547158
USER	SE1	226	START	1549514547158	1549514547158
REQUEST	145		Homepage	1549514520162	1549514547175	OK	 
USER	SE1	228	START	1549514547663	1549514547663
USER	SE2	230	START	1549514548163	1549514548163
USER	SE1	229	START	1549514548163	1549514548163
USER	SE1	231	START	1549514548663	1549514548663
REQUEST	148		Homepage	1549514521164	1549514548725	OK	 
REQUEST	147		Homepage	1549514520659	1549514548740	OK	 
USER	SE1	232	START	1549514549159	1549514549159
USER	SE2	233	START	1549514549159	1549514549159
USER	SE1	234	START	1549514549658	1549514549658
REQUEST	146		Homepage	1549514520162	1549514549826	OK	 
USER	SE2	236	START	1549514550160	1549514550160
USER	SE1	235	START	1549514550160	1549514550160
USER	SE1	237	START	1549514550661	1549514550661
REQUEST	149		Homepage	1549514521164	1549514551141	OK	 
USER	SE1	238	START	1549514551158	1549514551158
USER	SE2	239	START	1549514551158	1549514551158
REQUEST	150		Homepage	1549514521654	1549514551617	OK	 
USER	SE1	240	START	1549514551662	1549514551662
USER	SE1	241	START	1549514552163	1549514552163
USER	SE2	242	START	1549514552163	1549514552163
USER	SE1	243	START	1549514552648	1549514552648
REQUEST	151		Homepage	1549514522150	1549514552723	OK	 
USER	SE2	245	START	1549514553154	1549514553154
USER	SE1	244	START	1549514553154	1549514553154
REQUEST	152		Homepage	1549514522150	1549514553209	OK	 
REQUEST	153		Homepage	1549514522659	1549514553553	OK	 
USER	SE1	246	START	1549514553659	1549514553659
USER	SE2	248	START	1549514554164	1549514554164
USER	SE1	247	START	1549514554164	1549514554164
USER	SE1	249	START	1549514554650	1549514554650
REQUEST	154		Homepage	1549514523163	1549514555114	OK	 
USER	SE1	250	START	1549514555152	1549514555152
USER	SE2	251	START	1549514555152	1549514555152
REQUEST	155		Homepage	1549514523163	1549514555296	OK	 
USER	SE1	252	START	1549514555664	1549514555664
REQUEST	156		Homepage	1549514523652	1549514555828	OK	 
REQUEST	157		Homepage	1549514524154	1549514555853	OK	 
USER	SE2	254	START	1549514556160	1549514556160
USER	SE1	253	START	1549514556160	1549514556160
USER	SE1	255	START	1549514556664	1549514556664
USER	SE2	257	START	1549514557159	1549514557159
USER	SE1	256	START	1549514557159	1549514557159
REQUEST	160		Homepage	1549514525159	1549514557543	OK	 
USER	SE1	258	START	1549514557660	1549514557660
USER	SE1	259	START	1549514558158	1549514558158
USER	SE2	260	START	1549514558159	1549514558159
USER	SE1	261	START	1549514558659	1549514558659
REQUEST	158		Homepage	1549514524154	1549514559125	OK	 
USER	SE2	263	START	1549514559161	1549514559161
USER	SE1	262	START	1549514559161	1549514559161
REQUEST	161		Homepage	1549514525159	1549514559425	OK	 
REQUEST	162		Homepage	1549514525661	1549514559423	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	159		Homepage	1549514524660	1549514559526	OK	 
REQUEST	163		Homepage	1549514526161	1549514559536	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	264	START	1549514559659	1549514559659
USER	SE2	266	START	1549514560158	1549514560158
USER	SE1	265	START	1549514560158	1549514560158
REQUEST	166		Homepage	1549514527162	1549514560402	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	167		Homepage	1549514527162	1549514560414	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	267	START	1549514560663	1549514560663
USER	SE1	268	START	1549514561163	1549514561163
USER	SE2	269	START	1549514561163	1549514561163
USER	SE1	270	START	1549514561648	1549514561648
REQUEST	169		Homepage	1549514528159	1549514561709	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	272	START	1549514562154	1549514562154
USER	SE1	271	START	1549514562154	1549514562154
REQUEST	4		SearchFlight	1549514528969	1549514562629	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
USER	SE1	273	START	1549514562663	1549514562663
REQUEST	171		Homepage	1549514528665	1549514562773	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	275	START	1549514563160	1549514563160
USER	SE1	274	START	1549514563160	1549514563160
REQUEST	3		SearchFlight	1549514531961	1549514563551	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
USER	SE1	276	START	1549514563662	1549514563662
REQUEST	177		Homepage	1549514530660	1549514564115	OK	 
USER	SE2	278	START	1549514564161	1549514564161
USER	SE1	277	START	1549514564161	1549514564161
USER	SE1	279	START	1549514564660	1549514564660
REQUEST	2		SearchFlight	1549514530729	1549514564969	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	174		Homepage	1549514529663	1549514565067	OK	 
REQUEST	184		Homepage	1549514533150	1549514565077	OK	 
REQUEST	185		Homepage	1549514533150	1549514565143	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	281	START	1549514565161	1549514565161
USER	SE1	280	START	1549514565161	1549514565161
USER	SE1	282	START	1549514565664	1549514565664
REQUEST	186		Homepage	1549514533662	1549514565975	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	283	START	1549514566163	1549514566163
USER	SE2	284	START	1549514566163	1549514566163
USER	SE1	285	START	1549514566649	1549514566649
REQUEST	176		Homepage	1549514530161	1549514566949	OK	 
REQUEST	183		Homepage	1549514532653	1549514567060	OK	 
USER	SE1	286	START	1549514567152	1549514567152
USER	SE2	287	START	1549514567152	1549514567152
USER	SE1	288	START	1549514567661	1549514567661
REQUEST	15		SearchFlight	1549514537571	1549514568131	OK	 
